               state	                soln	                  pH	                  pe	                C(4)	                  Ca	                  Mg	                  Cl	             Calcite	           d_Calcite	       Dolomite(dis)	     d_Dolomite(dis)	
              i_soln	                  29	  9.903096630712e+00	  8.159441319320e+00	  1.237908923327e-04	  1.265629460056e-04	  4.282730234331e-05	  9.119871107799e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  29	  9.903122284231e+00	  8.139475830507e+00	  1.238011545412e-04	  1.265732082143e-04	  4.282730234716e-05	  9.119871108619e-05	  2.074267070540e-04	 -1.026219731613e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  30	  9.901003655883e+00	  8.206201267963e+00	  1.240116426049e-04	  1.277432978877e-04	  5.544650522245e-05	  1.183563200697e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  30	  9.901034439613e+00	  8.204278230781e+00	  1.240239709458e-04	  1.277556262291e-04	  5.544650522843e-05	  1.183563200825e-04	  2.074082514793e-04	 -1.232832756368e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  31	  9.905745337966e+00	  8.230758203752e+00	  1.234625648330e-04	  1.250696606803e-04	  2.656543278728e-05	  5.634505629756e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  31	  9.905759842635e+00	  8.218042175257e+00	  1.234683571317e-04	  1.250754529792e-04	  2.656543278863e-05	  5.634505630043e-05	  2.074570484514e-04	 -5.792292464055e-09	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  32	  9.904371694453e+00	  8.191525930532e+00	  1.236437673872e-04	  1.258465470750e-04	  3.508864230776e-05	  7.458284302860e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  32	  9.904390280444e+00	  8.185511585597e+00	  1.236511967028e-04	  1.258539763908e-04	  3.508864231005e-05	  7.458284303347e-05	  2.074464434232e-04	 -7.429307547765e-09	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  33	  9.907431199107e+00	  8.274709541241e+00	  1.232122231637e-04	  1.241145522957e-04	  1.590925067767e-05	  3.362315863639e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  33	  9.907438393660e+00	  8.274660277245e+00	  1.232150923340e-04	  1.241174214660e-04	  1.590925067807e-05	  3.362315863724e-05	  2.074727041452e-04	 -2.869167159609e-09	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  34	  9.906567615569e+00	 -4.794968531453e+00	  1.233469329068e-04	  1.246055740779e-04	  2.142633028868e-05	  4.536994194243e-05	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
