               state	                soln	                  pH	                  pe	          Synthetica	          Syntheticb	          k_Productd	         dk_Productd	
              i_soln	                  37	  7.003833670899e+00	 -1.948259181091e+00	  3.928692722414e-01	  3.928692722414e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  37	  7.003982821900e+00	 -1.888440806426e+00	  3.891065404796e-01	  3.891065404796e-01	  7.120468647738e-01	  3.762731761487e-03	
              i_soln	                  38	  7.003712246420e+00	  1.125967747300e+01	  3.958545598987e-01	  3.958545598987e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  38	  7.003861307935e+00	  1.126244538535e+01	  3.920643150335e-01	  3.920643150335e-01	  7.207790814953e-01	  3.790244864803e-03	
              i_soln	                  39	  7.004044419059e+00	  1.127708203779e+01	  3.877431745522e-01	  3.877431745522e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  39	  7.004193715900e+00	  1.127762862724e+01	  3.840277226522e-01	  3.840277226522e-01	  6.971337712409e-01	  3.715451899682e-03	
              i_soln	                  40	  7.003922676259e+00	 -2.166346903418e+00	  3.906958330883e-01	  3.906958330883e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  40	  7.004071890222e+00	 -2.166224549650e+00	  3.869531421007e-01	  3.869531421007e-01	  7.057110919564e-01	  3.742690987296e-03	
              i_soln	                  41	  7.004255702207e+00	  1.123180799287e+01	  3.826733408549e-01	  3.826733408549e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  41	  7.004405133384e+00	  1.122905695568e+01	  3.790046953775e-01	  3.790046953775e-01	  6.824858070839e-01	  3.668645477044e-03	
              i_soln	                  42	  7.004133653064e+00	  1.121482312302e+01	  3.855935542370e-01	  3.855935542370e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  42	  7.004283007946e+00	  1.121647604440e+01	  3.818979428303e-01	  3.818979428303e-01	  6.909105520192e-01	  3.695611406276e-03	
              i_soln	                  43	  7.004467499631e+00	  1.116201846167e+01	  3.776594472650e-01	  3.776594472650e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  43	  7.004617053598e+00	  1.117672926555e+01	  3.740371363233e-01	  3.740371363233e-01	  6.680989715072e-01	  3.622310941344e-03	
              i_soln	                  44	  7.004345156097e+00	  1.121151545868e+01	  3.805474032991e-01	  3.805474032991e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  44	  7.004494640600e+00	  1.121474897242e+01	  3.768983986799e-01	  3.768983986799e-01	  6.763734376191e-01	  3.649004618788e-03	
              i_soln	                  45	  7.004679790685e+00	  1.127383874951e+01	  3.727011634378e-01	  3.727011634378e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  45	  7.004829456401e+00	  1.127375943588e+01	  3.691247167808e-01	  3.691247167808e-01	  6.539693225701e-01	  3.576446656664e-03	
              i_soln	                  46	  7.004557164672e+00	 -2.115123716775e+00	  3.755570536306e-01	  3.755570536306e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  46	  7.004706767361e+00	 -2.129640980085e+00	  3.719541845933e-01	  3.719541845933e-01	  6.620957895721e-01	  3.602869036976e-03	
              i_soln	                  47	  7.004892554729e+00	  1.113767465342e+01	  3.677981528241e-01	  3.677981528241e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  47	  7.005042320842e+00	  1.112850394497e+01	  3.642671019182e-01	  3.642671019182e-01	  6.400929325953e-01	  3.531050905657e-03	
              i_soln	                  48	  7.004769658154e+00	  1.118261886659e+01	  3.706221722326e-01	  3.706221722326e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  48	  7.004919367641e+00	  1.118322719061e+01	  3.670649692420e-01	  3.670649692420e-01	  6.480736545730e-01	  3.557202990222e-03	
              i_soln	                  49	  7.005105771114e+00	  1.106428027985e+01	  3.629500729085e-01	  3.629500729085e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  49	  7.005255626410e+00	  1.102343228148e+01	  3.594639510165e-01	  3.594639510165e-01	  6.264659368543e-01	  3.486121891671e-03	
              i_soln	                  50	  7.004982615900e+00	  1.129000560081e+01	  3.657424200060e-01	  3.657424200060e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  50	  7.005132420949e+00	  1.129096208760e+01	  3.622304152783e-01	  3.622304152783e-01	  6.343031486092e-01	  3.512004727409e-03	
              i_soln	                  51	  7.005319419246e+00	  1.127307879225e+01	  3.581565754547e-01	  3.581565754547e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  51	  7.005469352390e+00	  1.127218563425e+01	  3.547149177134e-01	  3.547149177134e-01	  6.130844945506e-01	  3.441657740959e-03	
