               state	                soln	                  pH	                  pe	                  Ca	                  Cl	                   K	                N(5)	                  Na	
               react	                  42	  6.994915303304e+00	  1.264425261920e+01	  5.999998248636e-04	  1.199999993953e-03	  3.139971904283e-10	  7.045367519017e-12	  3.827596968403e-11	
              i_soln	                  43	  6.994915303596e+00	  1.264446512281e+01	  5.999996257397e-04	  1.199999987761e-03	  6.716237073369e-10	  1.323774960533e-11	  7.889723516532e-11	
              i_exch	                 123	  6.994915303984e+00	  1.264446512281e+01	  5.999996015231e-04	  1.199999986975e-03	  7.150266116834e-10	  1.402383623844e-11	  8.392749466134e-11	
               react	                  43	  6.994915303600e+00	  1.264446510914e+01	  5.999996239109e-04	  1.199999987761e-03	  6.751928880780e-10	  1.323774960507e-11	  7.898558633515e-11	
              i_soln	                  44	  6.994915303431e+00	  1.264439525366e+01	  5.999997160344e-04	  1.199999990509e-03	  5.092582880216e-10	  1.048940276543e-11	  6.067314401885e-11	
              i_exch	                 124	  6.994915303427e+00	  1.264439525366e+01	  5.999996976373e-04	  1.199999989898e-03	  5.421922755984e-10	  1.110057172929e-11	  6.453343694469e-11	
               react	                  44	  6.994915303435e+00	  1.264439525418e+01	  5.999997146464e-04	  1.199999990509e-03	  5.119665708108e-10	  1.048940276523e-11	  6.074094595830e-11	
              i_soln	                  45	  6.994915304968e+00	  1.264456954732e+01	  5.999993950924e-04	  1.199999981017e-03	  1.087177530439e-09	  1.998173418520e-11	  1.246379816297e-10	
              i_exch	                 125	  6.994915305539e+00	  1.264456954732e+01	  5.999993560382e-04	  1.199999979803e-03	  1.157327674303e-09	  2.119502012174e-11	  1.325962518896e-10	
               react	                  45	  6.994915304978e+00	  1.264456955147e+01	  5.999993921382e-04	  1.199999981017e-03	  1.092946237157e-09	  1.998173418481e-11	  1.247777602496e-10	
              i_soln	                  46	  6.994915304007e+00	  1.264451284382e+01	  5.999995397435e-04	  1.199999985217e-03	  8.264767016331e-10	  1.578121214354e-11	  9.603656174713e-11	
